country,state,city,sub-district,keyword
Indonesia,Sumatera Utara,Tapanuli Utara,Pagaran,Pagaran
Indonesia,Sumatera Utara,Tapanuli Utara,Parmonangan,Parmonangan
Indonesia,Sumatera Utara,Tapanuli Utara,Sipahutar,Sipahutar
Indonesia,Sumatera Utara,Tapanuli Utara,Pangaribuan,Pangaribuan
Indonesia,Sumatera Utara,Tapanuli Utara,Garoga,Garoga
Indonesia,Sumatera Utara,Tapanuli Utara,Muara,Muara
Indonesia,Sumatera Utara,Tapanuli Selatan,Angkola Barat,Angkola Barat
Indonesia,Sumatera Utara,Tapanuli Selatan,Batang Toru,Batang Toru
Indonesia,Sumatera Utara,Tapanuli Selatan,Angkola Timur,Angkola Timur
Indonesia,Sumatera Utara,Tapanuli Selatan,Sipirok,Sipirok
Indonesia,Sumatera Utara,Tapanuli Selatan,Saipar Dolok Hole,Saipar Dolok Hole
Indonesia,Sumatera Utara,Tapanuli Selatan,Angkola Selatan,Angkola Selatan
Indonesia,Sumatera Utara,Tapanuli Selatan,Batang Angkola,Batang Angkola
Indonesia,Sumatera Utara,Tapanuli Selatan,Arse,Arse
Indonesia,Sumatera Utara,Tapanuli Selatan,Marancar,Marancar
Indonesia,Sumatera Utara,Tapanuli Selatan,Sayur Matinggi,Sayur Matinggi
Indonesia,Sumatera Utara,Tapanuli Selatan,Aek Bilah,Aek Bilah
Indonesia,Sumatera Utara,Tapanuli Selatan,Muara Batang Toru,Muara Batang Toru
Indonesia,Sumatera Utara,Tapanuli Selatan,Tano Tombangan Angkola,Tano Tombangan Angkola
Indonesia,Sumatera Utara,Tapanuli Selatan,Angkola Sangkunur,Angkola Sangkunur
Indonesia,Sumatera Utara,Nias,Hiliduho,Hiliduho
Indonesia,Sumatera Utara,Nias,Gido,Gido
Indonesia,Sumatera Utara,Nias,Idanogawo,Idanogawo
Indonesia,Sumatera Utara,Nias,Bawolato,Bawolato
Indonesia,Sumatera Utara,Nias,Hili Serangkai ,Hili Serangkai 
Indonesia,Sumatera Utara,Nias,Botomuzoi,Botomuzoi
Indonesia,Sumatera Utara,Nias,Ulugawo,Ulugawo
Indonesia,Sumatera Utara,Nias,Somolo-Molo,Somolo-Molo
Indonesia,Sumatera Utara,Langkat,Bahorok,Bahorok
